,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,12.88,168.044,12.368,523.411,1881.272,74.037,0.0,REFPROP::R1336MZZZ
32,12.88,75.0,11.75,293.749,1299.731,9.039,0.0,REFPROP::R1336MZZZ
33,12.88,27.913,11.574,233.792,1114.919,1.411,0.0,REFPROP::R1336MZZZ
34,12.88,2.0,0.272,231.613,1114.919,-0.768,0.164,REFPROP::R1336MZZZ
35,12.88,0.928,0.259,380.15,1657.301,-5.806,1.0,REFPROP::R1336MZZZ
36,12.88,70.0,0.255,440.108,1852.604,-1.149,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,634.018,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,634.018,7.0,1.013,406.325,3817.888,0.016,0.0,REFPROP::air
