,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,13.723,160.205,12.895,513.33,1856.502,70.97,0.0,REFPROP::R1336MZZZ
32,13.723,75.0,12.25,293.754,1299.628,9.073,0.0,REFPROP::R1336MZZZ
33,13.723,33.697,9.85,240.853,1138.569,1.775,0.0,REFPROP::R1336MZZZ
34,13.723,9.99,0.393,239.033,1138.569,-0.045,0.156,REFPROP::R1336MZZZ
35,13.723,9.99,0.393,386.947,1660.978,-0.05,1.0,REFPROP::R1336MZZZ
36,13.723,70.0,0.387,439.828,1830.787,4.749,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,201807.83,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,201807.83,9.99,1.013,409.332,3828.566,0.0,0.0,REFPROP::air
