,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,13.075,167.393,12.25,522.818,1880.327,73.711,0.0,REFPROP::R1336MZZZ
32,13.075,70.0,12.25,287.155,1280.535,7.879,0.0,REFPROP::R1336MZZZ
33,13.075,20.866,12.25,225.241,1086.015,1.044,0.0,REFPROP::R1336MZZZ
34,13.075,2.0,0.272,223.66,1086.015,-0.537,0.119,REFPROP::R1336MZZZ
35,13.075,0.928,0.259,380.15,1657.301,-5.806,1.0,REFPROP::R1336MZZZ
36,13.075,70.0,0.259,440.1,1851.821,-0.935,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,678.073,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,678.073,7.0,1.013,406.325,3817.888,0.016,0.0,REFPROP::air
