,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,13.358,163.275,12.5,517.596,1867.581,72.099,0.0,REFPROP::R1336MZZZ
32,13.358,70.0,12.5,287.158,1280.486,7.896,0.0,REFPROP::R1336MZZZ
33,13.358,26.288,12.312,231.829,1108.201,1.35,0.0,REFPROP::R1336MZZZ
34,13.358,2.0,0.272,229.765,1108.201,-0.714,0.154,REFPROP::R1336MZZZ
35,13.358,0.928,0.259,380.15,1657.301,-5.806,1.0,REFPROP::R1336MZZZ
36,13.358,65.0,0.255,435.48,1839.017,-1.93,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,665.716,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,665.716,7.0,1.013,406.325,3817.888,0.016,0.0,REFPROP::air
