,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,13.14,166.582,14.211,518.89,1865.329,74.03,0.0,REFPROP::R1336MZZZ
32,13.14,75.0,13.5,293.766,1299.371,9.158,0.0,REFPROP::R1336MZZZ
33,13.14,22.204,13.5,226.902,1091.343,1.196,0.0,REFPROP::R1336MZZZ
34,13.14,2.0,0.272,225.126,1091.343,-0.579,0.128,REFPROP::R1336MZZZ
35,13.14,0.928,0.259,380.15,1657.301,-5.806,1.0,REFPROP::R1336MZZZ
36,13.14,75.0,0.259,444.769,1865.329,-0.091,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,675.045,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,675.045,7.0,1.013,406.325,3817.888,0.016,0.0,REFPROP::air
