,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,13.801,159.449,13.158,511.995,1852.604,70.738,0.0,REFPROP::R1336MZZZ
32,13.801,75.0,12.5,293.757,1299.577,9.09,0.0,REFPROP::R1336MZZZ
33,13.801,27.944,9.85,233.776,1115.286,1.29,0.0,REFPROP::R1336MZZZ
34,13.801,2.0,0.272,231.714,1115.286,-0.771,0.164,REFPROP::R1336MZZZ
35,13.801,0.928,0.259,380.15,1657.301,-5.806,1.0,REFPROP::R1336MZZZ
36,13.801,70.0,0.255,440.108,1852.604,-1.149,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,678.913,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,678.913,7.0,1.013,406.325,3817.888,0.016,0.0,REFPROP::air
