,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,14.117,153.041,13.684,503.292,1830.787,68.213,0.0,REFPROP::R1336MZZZ
32,14.117,75.0,13.0,293.761,1299.474,9.124,0.0,REFPROP::R1336MZZZ
33,14.117,33.649,12.805,240.881,1137.945,1.98,0.0,REFPROP::R1336MZZZ
34,14.117,9.99,0.393,238.856,1137.945,-0.045,0.155,REFPROP::R1336MZZZ
35,14.117,9.99,0.393,386.947,1660.978,-0.05,1.0,REFPROP::R1336MZZZ
36,14.117,70.0,0.387,439.828,1830.787,4.749,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,207850.414,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,207850.414,9.99,1.013,409.332,3828.566,0.0,0.0,REFPROP::air
