,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,13.78,156.86,13.421,508.425,1843.539,69.736,0.0,REFPROP::R1336MZZZ
32,13.78,75.0,12.75,293.759,1299.525,9.107,0.0,REFPROP::R1336MZZZ
33,13.78,28.457,12.75,234.494,1116.964,1.534,0.0,REFPROP::R1336MZZZ
34,13.78,9.99,0.393,232.915,1116.964,-0.045,0.121,REFPROP::R1336MZZZ
35,13.78,9.99,0.393,386.947,1660.978,-0.05,1.0,REFPROP::R1336MZZZ
36,13.78,75.0,0.393,444.497,1843.539,5.807,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,211016.077,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,211016.077,9.99,1.013,409.332,3828.566,0.0,0.0,REFPROP::air
