,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,14.266,152.303,13.5,502.73,1829.994,67.876,0.0,REFPROP::R1336MZZZ
32,14.266,70.0,13.5,287.171,1280.291,7.965,0.0,REFPROP::R1336MZZZ
33,14.266,27.083,13.5,232.837,1111.275,1.488,0.0,REFPROP::R1336MZZZ
34,14.266,9.99,0.393,231.304,1111.275,-0.045,0.111,REFPROP::R1336MZZZ
35,14.266,9.99,0.393,386.947,1660.978,-0.05,1.0,REFPROP::R1336MZZZ
36,14.266,70.0,0.393,439.815,1829.994,4.961,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,220753.01,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,220753.01,9.99,1.013,409.332,3828.566,0.0,0.0,REFPROP::air
