,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,14.265,152.931,13.75,503.033,1829.994,68.179,0.0,REFPROP::R1336MZZZ
32,14.265,70.0,13.75,287.175,1280.242,7.982,0.0,REFPROP::R1336MZZZ
33,14.265,27.079,13.75,232.841,1111.226,1.506,0.0,REFPROP::R1336MZZZ
34,14.265,9.99,0.393,231.291,1111.226,-0.045,0.111,REFPROP::R1336MZZZ
35,14.265,9.99,0.393,386.947,1660.978,-0.05,1.0,REFPROP::R1336MZZZ
36,14.265,70.0,0.393,439.815,1829.994,4.961,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,220753.011,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,220753.011,9.99,1.013,409.332,3828.566,0.0,0.0,REFPROP::air
