k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
comp,,103.34888,90.27709,96.45132,6.89756,13.65069,-0.69403,,,-0.70199,52.66401,50.68487,49.14919,3.51483,47.30213,3.38274,,42.6432
comp,cond,,,,,13.04597,-0.08931,96.46491,0.01358,,,,,,,,0.00666,
comp,ihx,,,,,14.07111,-1.11445,98.5971,2.14578,,,,,,,,1.05235,
comp,val,,,,,13.65069,-0.69403,96.45132,0.0,,,,,,,,0.0,
comp,eva,,,,,13.2674,-0.31074,101.89151,5.44018,,,,,,,,2.668,
cond,,114.6164,86.54927,114.6164,0.0,13.67192,-0.71526,,,0.0,97.92783,16.68857,97.92783,-0.0,16.68857,0.0,,17.04195
cond,comp,,,,,13.04597,-0.08931,114.6164,0.0,,,,,,,,0.0,
cond,ihx,,,,,14.15672,-1.20006,114.6164,-0.0,,,,,,,,-0.0,
cond,val,,,,,13.67192,-0.71526,114.6164,0.0,,,,,,,,0.0,
cond,eva,,,,,13.3208,-0.36414,114.6164,0.0,,,,,,,,0.0,
ihx,,35.6867,63.1956,32.45358,3.23313,14.71987,-1.76321,,,0.00725,27.18826,8.49845,24.72509,2.46317,7.72849,0.76996,,20.78782
ihx,comp,,,,,14.07111,-1.11445,31.02271,-1.43086,,,,,,,,-0.34076,
ihx,cond,,,,,14.15672,-1.20006,35.88017,3.42659,,,,,,,,0.81603,
ihx,val,,,,,14.71987,-1.76321,32.45358,0.0,,,,,,,,0.0,
ihx,eva,,,,,14.15887,-1.20221,33.68372,1.23015,,,,,,,,0.29296,
val,,28.4201,54.99525,22.00739,6.4127,14.26618,-1.30952,,,-1.47819,28.42009,0.0,31.29249,-2.8724,-9.2851,9.2851,,-9.59005
val,comp,,,,,13.65069,-0.69403,20.23335,-1.77404,,,,,,,,-2.56868,
val,cond,,,,,13.67192,-0.71526,22.99215,0.98476,,,,,,,,1.42586,
val,ihx,,,,,14.71987,-1.76321,30.5222,8.51481,,,,,,,,12.32879,
val,eva,,,,,13.90128,-0.94462,22.17276,0.16536,,,,,,,,0.23944,
eva,,43.36639,,49.01345,-5.64705,13.90128,-0.94462,,,-0.16286,17.12863,26.23777,18.37741,-1.24878,30.63604,-4.39827,,33.83643
eva,comp,,,,,13.2674,-0.31074,46.76722,-2.24622,,,,,,,,-1.7495,
eva,cond,,,,,13.3208,-0.36414,46.58018,-2.43327,,,,,,,,-1.89518,
eva,ihx,,,,,14.15887,-1.20221,48.60028,-0.41316,,,,,,,,-0.3218,
eva,val,,,,,13.90128,-0.94462,48.62191,-0.39154,,,,,,,,-0.30495,
