Label,Component,ED [kW]
all_real,comp,103.348884
all_real,cond,114.616405
all_real,ihx,35.686704
all_real,val,28.420095
all_real,eva,43.366394
all_real,tot,325.438481
all_ideal,comp,0.0
all_ideal,cond,-0.0
all_ideal,ihx,-0.0
all_ideal,val,0.0
all_ideal,eva,0.0
all_ideal,tot,0.0
comp,comp,96.451322
comp,cond,-0.0
comp,ihx,-0.0
comp,val,0.0
comp,eva,0.0
comp,tot,96.451322
cond,comp,-0.0
cond,cond,114.616405
cond,ihx,-0.0
cond,val,-0.0
cond,eva,0.0
cond,tot,114.616405
ihx,comp,0.0
ihx,cond,-0.0
ihx,ihx,32.453576
ihx,val,0.0
ihx,eva,0.0
ihx,tot,32.453576
val,comp,0.0
val,cond,-0.0
val,ihx,-0.0
val,val,22.007391
val,eva,0.0
val,tot,22.007391
eva,comp,-0.0
eva,cond,0.0
eva,ihx,-0.0
eva,val,0.0
eva,eva,49.013445
eva,tot,49.013445
comp_cond,comp,96.464906
comp_cond,cond,114.616405
comp_cond,ihx,0.0
comp_cond,val,-0.0
comp_cond,eva,0.0
comp_cond,tot,211.08131
comp_ihx,comp,98.597104
comp_ihx,cond,-0.0
comp_ihx,ihx,31.022713
comp_ihx,val,0.0
comp_ihx,eva,0.0
comp_ihx,tot,129.619818
comp_val,comp,96.451322
comp_val,cond,-0.0
comp_val,ihx,0.0
comp_val,val,20.233348
comp_val,eva,0.0
comp_val,tot,116.684671
comp_eva,comp,101.891506
comp_eva,cond,0.0
comp_eva,ihx,0.0
comp_eva,val,-0.0
comp_eva,eva,46.76722
comp_eva,tot,148.658726
cond_ihx,comp,0.0
cond_ihx,cond,114.616405
cond_ihx,ihx,35.880168
cond_ihx,val,-0.0
cond_ihx,eva,0.0
cond_ihx,tot,150.496573
cond_val,comp,-0.0
cond_val,cond,114.616405
cond_val,ihx,-0.0
cond_val,val,22.992154
cond_val,eva,0.0
cond_val,tot,137.608559
cond_eva,comp,0.0
cond_eva,cond,114.616405
cond_eva,ihx,-0.0
cond_eva,val,0.0
cond_eva,eva,46.580175
cond_eva,tot,161.19658
ihx_val,comp,0.0
ihx_val,cond,-0.0
ihx_val,ihx,32.453576
ihx_val,val,30.522201
ihx_val,eva,0.0
ihx_val,tot,62.975776
ihx_eva,comp,-0.0
ihx_eva,cond,-0.0
ihx_eva,ihx,33.683724
ihx_eva,val,-0.0
ihx_eva,eva,48.600282
ihx_eva,tot,82.284007
val_eva,comp,0.0
val_eva,cond,-0.0
val_eva,ihx,0.0
val_eva,val,22.172756
val_eva,eva,48.621908
val_eva,tot,70.794664
comp_unavoid,comp,52.809573
comp_unavoid,cond,114.145893
comp_unavoid,ihx,36.586565
comp_unavoid,val,29.546893
comp_unavoid,eva,44.46251
comp_unavoid,tot,277.551434
cond_unavoid,comp,102.415083
cond_unavoid,cond,97.92783
cond_unavoid,ihx,33.524773
cond_unavoid,val,27.028751
cond_unavoid,eva,43.766339
cond_unavoid,tot,304.662775
ihx_unavoid,comp,101.850913
ihx_unavoid,cond,115.101959
ihx_unavoid,ihx,30.055327
ihx_unavoid,val,25.037344
ihx_unavoid,eva,43.419139
ihx_unavoid,tot,315.464682
val_unavoid,comp,103.348884
val_unavoid,cond,114.616405
val_unavoid,ihx,35.686704
val_unavoid,val,28.420095
val_unavoid,eva,43.366394
val_unavoid,tot,325.438481
eva_unavoid,comp,100.833439
eva_unavoid,cond,114.232525
eva_unavoid,ihx,33.009612
eva_unavoid,val,27.942933
eva_unavoid,eva,17.43169
eva_unavoid,tot,293.450198
