Label,Key,ED [kW]
real,comp,103.34888
real,cond,114.6164
real,ihx,35.6867
real,val,28.4201
real,eva,43.36639
ideal,comp,-0.0
ideal,cond,-0.0
ideal,ihx,0.0
ideal,val,-0.0
ideal,eva,0.0
COMP,comp,-0.0
COMP,cond,114.6164
COMP,ihx,37.8412
COMP,val,30.92226
COMP,eva,45.58538
COND,comp,103.31691
COND,cond,-0.0
COND,ihx,32.12797
COND,val,26.02832
COND,eva,45.88218
IHX,comp,101.55862
IHX,cond,114.6164
IHX,ihx,-0.0
IHX,val,21.15026
IHX,eva,43.94779
VAL,comp,103.34886
VAL,cond,114.6164
VAL,ihx,35.68657
VAL,val,-0.0
VAL,eva,43.86825
EVA,comp,98.87503
EVA,cond,114.6164
EVA,ihx,34.94054
EVA,val,30.99295
EVA,eva,0.0
COMP_COND,comp,-0.0
COMP_COND,cond,-0.0
COMP_COND,ihx,33.68372
COMP_COND,val,28.18187
COMP_COND,eva,48.10263
COMP_IHX,comp,0.0
COMP_IHX,cond,114.6164
COMP_IHX,ihx,-0.0
COMP_IHX,val,23.23016
COMP_IHX,eva,46.16997
COMP_VAL,comp,0.0
COMP_VAL,cond,114.6164
COMP_VAL,ihx,37.8412
COMP_VAL,val,0.0
COMP_VAL,eva,46.13142
COMP_EVA,comp,0.0
COMP_EVA,cond,114.6164
COMP_EVA,ihx,35.88017
COMP_EVA,val,32.97012
COMP_EVA,eva,0.0
COND_IHX,comp,101.89151
COND_IHX,cond,-0.0
COND_IHX,ihx,-0.0
COND_IHX,val,20.34909
COND_IHX,eva,46.40789
COND_VAL,comp,103.31691
COND_VAL,cond,-0.0
COND_VAL,ihx,32.12797
COND_VAL,val,-0.0
COND_VAL,eva,46.3418
COND_EVA,comp,98.5971
COND_EVA,cond,-0.0
COND_EVA,ihx,31.02271
COND_EVA,val,28.27483
COND_EVA,eva,0.0
IHX_VAL,comp,101.55862
IHX_VAL,cond,114.6164
IHX_VAL,ihx,0.0
IHX_VAL,val,-0.0
IHX_VAL,eva,44.32127
IHX_EVA,comp,96.46491
IHX_EVA,cond,114.6164
IHX_EVA,ihx,-0.0
IHX_EVA,val,21.12812
IHX_EVA,eva,0.0
VAL_EVA,comp,98.87503
VAL_EVA,cond,114.6164
VAL_EVA,ihx,34.94054
VAL_EVA,val,-0.0
VAL_EVA,eva,0.0
