,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,13.63204,161.08438,511.13529,14.82967,1845.90355,REFPROP::R1336MZZZ,71.77584
32,13.63204,75.28088,294.14439,14.08819,1300.31906,REFPROP::R1336MZZZ,9.26719
33,13.63204,29.88113,236.27498,13.87687,1122.57899,REFPROP::R1336MZZZ,1.72488
34,13.63204,5.0,236.27498,0.31368,1130.59012,REFPROP::R1336MZZZ,-0.54347
35,13.63204,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
36,13.63204,70.22744,440.2384,0.29352,1845.90355,REFPROP::R1336MZZZ,0.87895
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
38,13.63204,133.85716,476.23478,14.57828,1763.46971,REFPROP::R1336MZZZ,60.21648
39,13.63204,132.98937,376.45489,14.33114,1518.37199,REFPROP::R1336MZZZ,29.836
28,10.0,96.72173,405.65455,5.0,1269.72357,REFPROP::water,46.79091
29,10.0,128.85812,541.67489,5.0,1622.33919,REFPROP::water,82.96813
