,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,14.15672,155.41475,502.27536,15.73074,1823.134,REFPROP::R1336MZZZ,69.36311
32,14.15672,74.65682,293.32668,14.94421,1297.77023,REFPROP::R1336MZZZ,9.17119
33,14.15672,35.36721,243.06157,14.72004,1144.56976,REFPROP::R1336MZZZ,2.28479
34,14.15672,10.0,243.06157,0.39354,1152.79487,REFPROP::R1336MZZZ,-0.04415
35,14.15672,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
36,14.15672,67.19685,437.22,0.38764,1823.134,REFPROP::R1336MZZZ,4.30775
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
38,14.15672,136.87704,477.75915,15.46407,1765.22955,REFPROP::R1336MZZZ,61.24255
39,14.15672,135.99755,381.17875,15.20191,1529.7447,REFPROP::R1336MZZZ,31.33968
28,10.0,99.60914,417.81829,5.0,1302.48221,REFPROP::water,49.67903
29,10.0,131.87802,554.54448,5.0,1654.23278,REFPROP::water,86.80705
