,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,13.3208,164.60738,516.24283,14.36632,1858.86172,REFPROP::R1336MZZZ,73.21428
32,13.3208,75.31249,294.18197,13.64801,1300.52972,REFPROP::R1336MZZZ,9.24512
33,13.3208,24.32988,229.48719,13.64801,1100.02784,REFPROP::R1336MZZZ,1.32245
34,13.3208,5.0,229.48719,0.31368,1106.18677,REFPROP::R1336MZZZ,-0.42146
35,13.3208,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
36,13.3208,75.31249,444.98338,0.29799,1858.86172,REFPROP::R1336MZZZ,1.95483
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
38,13.3208,132.24873,475.38668,14.12278,1762.46164,REFPROP::R1336MZZZ,59.65381
39,13.3208,131.38725,373.9655,13.88336,1512.34061,REFPROP::R1336MZZZ,29.0544
28,10.0,95.31378,399.72662,5.0,1253.66599,REFPROP::water,45.40968
29,10.0,127.24972,534.82773,5.0,1605.27265,REFPROP::water,80.95336
