,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,12.6606,172.24756,526.68778,13.54427,1884.89892,REFPROP::R1336MZZZ,76.2868
32,12.6606,74.46206,293.04736,12.86706,1297.45221,REFPROP::R1336MZZZ,8.98191
33,12.6606,25.78282,231.23093,12.86706,1106.0666,REFPROP::R1336MZZZ,1.35631
34,12.6606,5.0,231.23093,0.31368,1112.45583,REFPROP::R1336MZZZ,-0.4528
35,12.6606,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
36,12.6606,74.46206,444.18542,0.29799,1856.56896,REFPROP::R1336MZZZ,1.80606
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
38,12.6606,129.29416,473.76999,13.31466,1760.49649,REFPROP::R1336MZZZ,58.59355
39,12.6606,128.44437,369.43681,13.08895,1501.2993,REFPROP::R1336MZZZ,27.65205
28,10.0,93.0411,390.1622,5.0,1227.62806,REFPROP::water,43.2179
29,10.0,124.29324,522.25428,5.0,1573.75392,REFPROP::water,77.30444
