,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.04597,167.76813,520.65125,13.99897,1869.9314,REFPROP::R1336MZZZ,74.48832
12,13.04597,75.1117,293.91238,13.29902,1299.83739,REFPROP::R1336MZZZ,9.17157
13,13.04597,28.48559,234.54652,13.29902,1117.00263,REFPROP::R1336MZZZ,1.57536
14,13.04597,10.0,232.927,0.39354,1117.00263,REFPROP::R1336MZZZ,-0.04415
15,13.04597,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,13.04597,75.1117,444.60165,0.39354,1843.81722,REFPROP::R1336MZZZ,5.83295
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.04597,130.94492,474.68226,13.76165,1761.61173,REFPROP::R1336MZZZ,59.19004
19,13.04597,130.08858,371.96023,13.52836,1507.46267,REFPROP::R1336MZZZ,28.43032
28,10.0,94.25486,395.26955,5.0,1241.55222,REFPROP::water,44.38262
29,10.0,125.9458,529.28039,5.0,1591.39553,REFPROP::water,79.33533
