,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.2674,164.15404,519.00439,12.25483,1871.62353,REFPROP::R1336MZZZ,72.36233
12,13.2674,70.0,287.15468,12.25483,1280.53397,REFPROP::R1336MZZZ,7.87963
13,13.2674,22.90694,227.71348,12.25483,1094.39316,REFPROP::R1336MZZZ,1.1442
14,13.2674,5.0,226.20679,0.31368,1094.39316,REFPROP::R1336MZZZ,-0.36249
15,13.2674,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,13.2674,70.0,440.01728,0.29799,1844.50065,REFPROP::R1336MZZZ,1.05506
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.2674,125.20326,471.41969,12.25483,1757.56324,REFPROP::R1336MZZZ,57.0738
19,13.2674,125.20326,364.50982,12.25483,1489.18369,REFPROP::R1336MZZZ,26.1556
28,10.0,94.44712,396.0787,5.0,1243.75397,REFPROP::water,44.56834
29,10.0,125.20235,526.11889,5.0,1583.46647,REFPROP::water,78.41894
