,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,14.07111,154.63002,505.82302,13.36197,1837.64507,REFPROP::R1336MZZZ,68.80196
12,14.07111,70.0,287.16937,13.36197,1280.31747,REFPROP::R1336MZZZ,7.95562
13,14.07111,33.22578,240.36877,13.16154,1136.18804,REFPROP::R1336MZZZ,1.96528
14,14.07111,10.0,238.35935,0.39354,1136.18804,REFPROP::R1336MZZZ,-0.04415
15,14.07111,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,14.07111,63.45113,433.75548,0.38764,1812.89826,REFPROP::R1336MZZZ,3.74148
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,14.07111,129.47087,473.8687,13.36197,1760.61788,REFPROP::R1336MZZZ,58.65789
19,14.07111,129.47087,371.01024,13.36197,1505.14563,REFPROP::R1336MZZZ,28.1364
28,10.0,98.09107,411.422,5.0,1285.28787,REFPROP::water,48.15132
29,10.0,129.47167,544.28811,5.0,1628.83465,REFPROP::water,83.74216
