,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,12.99356,164.07967,517.44886,13.21356,1864.97415,REFPROP::R1336MZZZ,72.68957
12,12.99356,72.0,289.79539,12.94929,1288.04453,REFPROP::R1336MZZZ,8.39372
13,12.99356,28.80598,234.92193,12.75505,1118.37917,REFPROP::R1336MZZZ,1.56102
14,12.99356,5.0,234.92193,0.31368,1125.72568,REFPROP::R1336MZZZ,-0.51915
15,12.99356,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,12.99356,67.0,437.24244,0.29352,1837.13735,REFPROP::R1336MZZZ,0.36514
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,12.99356,128.58038,473.36881,13.12487,1760.00147,REFPROP::R1336MZZZ,58.33254
19,12.99356,128.24639,369.13408,13.03678,1500.55802,REFPROP::R1336MZZZ,27.55922
28,10.0,94.55619,396.53775,5.0,1245.00259,REFPROP::water,44.67385
29,10.0,126.57944,531.97573,5.0,1598.14379,REFPROP::water,80.1199
