,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.18591,165.93472,518.09891,14.21487,1863.51667,REFPROP::R1336MZZZ,73.7523
12,13.18591,75.0,293.76637,13.50413,1299.37013,REFPROP::R1336MZZZ,9.15786
13,13.18591,32.08357,238.96486,13.30157,1131.56321,REFPROP::R1336MZZZ,1.87088
14,13.18591,8.0,238.96486,0.35983,1139.04741,REFPROP::R1336MZZZ,-0.24827
15,13.18591,7.55354,385.11135,0.35264,1659.8614,REFPROP::R1336MZZZ,-1.57026
16,13.18591,70.0,439.91285,0.34735,1836.50957,REFPROP::R1336MZZZ,3.21331
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.18591,131.71434,475.09974,13.97389,1762.11672,REFPROP::R1336MZZZ,59.46453
19,13.18591,130.85496,373.14227,13.737,1510.34016,REFPROP::R1336MZZZ,28.7976
28,10.0,94.93042,398.11291,5.0,1249.28413,REFPROP::water,45.03669
29,10.0,126.71514,532.55309,5.0,1599.58791,REFPROP::water,80.28835
