,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,14.15887,153.72181,504.49165,13.48626,1834.16637,REFPROP::R1336MZZZ,68.45558
32,14.15887,70.0,287.17103,13.48626,1280.29323,REFPROP::R1336MZZZ,7.96415
33,14.15887,27.47237,233.30654,13.28396,1112.88855,REFPROP::R1336MZZZ,1.50029
34,14.15887,5.0,231.35129,0.31368,1112.88855,REFPROP::R1336MZZZ,-0.45496
35,14.15887,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
36,14.15887,65.90899,436.23348,0.29352,1834.16637,REFPROP::R1336MZZZ,0.19741
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
38,14.15887,129.93283,474.12556,13.48626,1760.93298,REFPROP::R1336MZZZ,58.82553
39,14.15887,129.93283,371.72047,13.48626,1506.87826,REFPROP::R1336MZZZ,28.35603
28,10.0,98.50387,413.16104,5.0,1289.96965,REFPROP::water,48.56471
29,10.0,129.93368,546.25644,5.0,1633.72063,REFPROP::water,84.32702
