,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,12.78037,171.12597,525.21182,13.64077,1881.28934,REFPROP::R1336MZZZ,75.83289
12,12.78037,75.0,293.76099,12.95873,1299.48213,REFPROP::R1336MZZZ,9.12077
13,12.78037,27.48501,233.30765,12.82914,1113.00327,REFPROP::R1336MZZZ,1.46891
14,12.78037,5.0,233.30765,0.31368,1119.92203,REFPROP::R1336MZZZ,-0.49013
15,12.78037,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,12.78037,73.0,442.82232,0.29501,1853.14411,REFPROP::R1336MZZZ,1.41271
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,12.78037,129.64801,473.96739,13.40953,1760.73909,REFPROP::R1336MZZZ,58.72226
19,12.78037,128.79681,369.9763,13.1822,1502.61935,REFPROP::R1336MZZZ,27.81778
28,10.0,93.20567,390.85459,5.0,1229.51842,REFPROP::water,43.37503
29,10.0,124.64727,523.7591,5.0,1577.53847,REFPROP::water,77.73766
