,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,12.95666,168.80238,522.06501,13.88739,1873.45749,REFPROP::R1336MZZZ,74.90366
32,12.95666,75.0,293.76329,13.19302,1299.43398,REFPROP::R1336MZZZ,9.1367
33,12.95666,29.76527,236.10555,12.99513,1122.23433,REFPROP::R1336MZZZ,1.65305
34,12.95666,5.0,236.10555,0.31368,1129.98101,REFPROP::R1336MZZZ,-0.54043
35,12.95666,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
36,12.95666,70.0,440.02672,0.29352,1845.28689,REFPROP::R1336MZZZ,0.84188
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
38,12.95666,130.54369,474.46258,13.65197,1761.34458,REFPROP::R1336MZZZ,59.046
39,12.95666,129.68894,371.34533,13.42053,1505.96338,REFPROP::R1336MZZZ,28.23994
28,10.0,93.94582,393.969,5.0,1238.0109,REFPROP::water,44.0848
29,10.0,125.54468,527.57453,5.0,1587.11907,REFPROP::water,78.84035
