Label,Key,ED [kW]
real,comp,50.4939
real,cond,107.4839
real,ihx,26.135
real,val,25.0466
real,eva,17.9306
real,tot,227.0899
ideal,comp,0.0
ideal,cond,-0.0
ideal,ihx,-0.0
ideal,val,0.0
ideal,eva,0.0
ideal,tot,0.0
comp,comp,49.5681
comp,cond,-0.0
comp,ihx,0.0
comp,val,-0.0
comp,eva,0.0
comp,tot,49.5681
cond,comp,0.0
cond,cond,107.4839
cond,ihx,0.0
cond,val,0.0
cond,eva,0.0
cond,tot,107.4839
ihx,comp,-0.0
ihx,cond,0.0
ihx,ihx,25.9955
ihx,val,-0.0
ihx,eva,0.0
ihx,tot,25.9955
val,comp,0.0
val,cond,-0.0
val,ihx,-0.0
val,val,22.0074
val,eva,0.0
val,tot,22.0074
eva,comp,0.0
eva,cond,0.0
eva,ihx,0.0
eva,val,0.0
eva,eva,19.6431
eva,tot,19.6431
comp_cond,comp,49.0245
comp_cond,cond,107.4839
comp_cond,ihx,0.0
comp_cond,val,-0.0
comp_cond,eva,0.0
comp_cond,tot,156.5084
comp_ihx,comp,50.0836
comp_ihx,cond,-0.0
comp_ihx,ihx,25.4144
comp_ihx,val,-0.0
comp_ihx,eva,0.0
comp_ihx,tot,75.498
comp_val,comp,49.5681
comp_val,cond,-0.0
comp_val,ihx,0.0
comp_val,val,21.0823
comp_val,eva,0.0
comp_val,tot,70.6504
comp_eva,comp,50.6892
comp_eva,cond,-0.0
comp_eva,ihx,0.0
comp_eva,val,0.0
comp_eva,eva,19.1953
comp_eva,tot,69.8845
cond_ihx,comp,0.0
cond_ihx,cond,107.4839
cond_ihx,ihx,26.2435
cond_ihx,val,-0.0
cond_ihx,eva,0.0
cond_ihx,tot,133.7274
cond_val,comp,0.0
cond_val,cond,107.4839
cond_val,ihx,0.0
cond_val,val,22.6742
cond_val,eva,0.0
cond_val,tot,130.1581
cond_eva,comp,0.0
cond_eva,cond,107.4839
cond_eva,ihx,0.0
cond_eva,val,-0.0
cond_eva,eva,18.7057
cond_eva,tot,126.1896
ihx_val,comp,0.0
ihx_val,cond,0.0
ihx_val,ihx,25.9955
ihx_val,val,25.9453
ihx_val,eva,0.0
ihx_val,tot,51.9408
ihx_eva,comp,0.0
ihx_eva,cond,-0.0
ihx_eva,ihx,26.3317
ihx_eva,val,0.0
ihx_eva,eva,19.4883
ihx_eva,tot,45.82
val_eva,comp,-0.0
val_eva,cond,-0.0
val_eva,ihx,-0.0
val_eva,val,22.0597
val_eva,eva,19.4873
val_eva,tot,41.547
