,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.79942,157.60391,510.07306,12.98189,1848.69243,REFPROP::R1336MZZZ,69.92394
12,13.79942,70.0,287.16429,12.98189,1280.39169,REFPROP::R1336MZZZ,7.92953
13,13.79942,25.41088,230.78134,12.98189,1104.53359,REFPROP::R1336MZZZ,1.3408
14,13.79942,8.0,229.2613,0.35983,1104.53359,REFPROP::R1336MZZZ,-0.17924
15,13.79942,7.55354,385.11135,0.35264,1659.8614,REFPROP::R1336MZZZ,-1.57026
16,13.79942,70.0,439.90164,0.35264,1835.7195,REFPROP::R1336MZZZ,3.4258
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.79942,128.03738,473.06101,12.98189,1759.61993,REFPROP::R1336MZZZ,58.13276
19,13.79942,128.03738,368.81474,12.98189,1499.77561,REFPROP::R1336MZZZ,27.46142
28,10.0,96.8326,406.12143,5.0,1270.98565,REFPROP::water,46.90043
29,10.0,128.03659,538.17691,5.0,1613.62902,REFPROP::water,81.93643
