,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,14.12005,154.1206,505.07829,13.43123,1835.70008,REFPROP::R1336MZZZ,68.60796
12,14.12005,70.0,287.1703,13.43123,1280.30396,REFPROP::R1336MZZZ,7.96037
13,14.12005,30.32798,236.80561,13.29692,1124.46984,REFPROP::R1336MZZZ,1.72012
14,14.12005,10.0,235.04134,0.39354,1124.46984,REFPROP::R1336MZZZ,-0.04415
15,14.12005,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,14.12005,67.30877,437.31957,0.38961,1823.1732,REFPROP::R1336MZZZ,4.39622
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,14.12005,129.7287,474.01227,13.43123,1760.79415,REFPROP::R1336MZZZ,58.75155
19,14.12005,129.7287,371.40647,13.43123,1506.11252,REFPROP::R1336MZZZ,28.25885
28,10.0,98.32095,412.39044,5.0,1287.89572,REFPROP::water,48.38135
29,10.0,129.72939,545.38602,5.0,1631.56069,REFPROP::water,84.0682
