,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.6224,158.13212,506.85881,15.15736,1835.18391,REFPROP::R1336MZZZ,70.53463
12,13.6224,71.92083,289.71432,14.85421,1287.36411,REFPROP::R1336MZZZ,8.50532
13,13.6224,27.59349,233.5042,14.85421,1113.16266,REFPROP::R1336MZZZ,1.62033
14,13.6224,10.0,231.83972,0.39354,1113.16266,REFPROP::R1336MZZZ,-0.04415
15,13.6224,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,13.6224,71.92083,441.60878,0.39354,1835.18391,REFPROP::R1336MZZZ,5.2846
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.6224,135.50167,477.07643,15.05563,1764.45072,REFPROP::R1336MZZZ,60.78036
19,13.6224,135.15695,379.85188,14.95458,1526.55973,REFPROP::R1336MZZZ,30.91463
28,10.0,99.23402,416.23752,5.0,1298.23934,REFPROP::water,49.29963
29,10.0,130.50258,548.68066,5.0,1639.73058,REFPROP::water,85.04953
