,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.48389,159.65521,509.17489,14.93442,1841.11017,REFPROP::R1336MZZZ,71.17269
12,13.48389,71.9879,289.79993,14.63573,1287.66324,REFPROP::R1336MZZZ,8.50622
13,13.48389,25.92784,231.46434,14.63573,1106.41447,REFPROP::R1336MZZZ,1.49122
14,13.48389,8.0,229.79011,0.35983,1106.41447,REFPROP::R1336MZZZ,-0.183
15,13.48389,7.55354,385.11135,0.35264,1659.8614,REFPROP::R1336MZZZ,-1.57026
16,13.48389,71.9879,441.7568,0.35264,1841.11017,REFPROP::R1336MZZZ,3.7546
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.48389,134.74388,476.69192,14.83419,1764.00517,REFPROP::R1336MZZZ,60.522
19,13.48389,134.40032,378.66218,14.73463,1523.69776,REFPROP::R1336MZZZ,30.5353
28,10.0,98.5296,413.26947,5.0,1290.26139,REFPROP::water,48.59054
29,10.0,129.7448,545.45171,5.0,1631.72373,REFPROP::water,84.08772
