,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,14.44356,150.94785,500.30337,13.89428,1823.16987,REFPROP::R1336MZZZ,67.38096
12,14.44356,70.0,287.17653,13.89428,1280.21371,REFPROP::R1336MZZZ,7.99216
13,14.44356,30.32249,236.81298,13.75534,1124.38264,REFPROP::R1336MZZZ,1.75217
14,14.44356,10.0,235.01665,0.39354,1124.38264,REFPROP::R1336MZZZ,-0.04415
15,14.44356,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,14.44356,67.30755,437.31844,0.38961,1823.16987,REFPROP::R1336MZZZ,4.39603
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,14.44356,131.42677,474.9443,13.89428,1761.92912,REFPROP::R1336MZZZ,59.36221
19,14.44356,131.42677,374.02671,13.89428,1512.48922,REFPROP::R1336MZZZ,29.07353
28,10.0,99.8637,418.89114,5.0,1305.35937,REFPROP::water,49.93722
29,10.0,131.42761,552.62388,5.0,1649.48824,REFPROP::water,86.22986
