,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.28098,161.93389,512.53886,14.62517,1849.67233,REFPROP::R1336MZZZ,72.11228
12,13.28098,72.0,289.81214,14.33266,1287.76948,REFPROP::R1336MZZZ,8.48835
13,13.28098,28.84491,235.01437,14.18934,1118.3358,REFPROP::R1336MZZZ,1.66573
14,13.28098,8.0,235.01437,0.35983,1124.99622,REFPROP::R1336MZZZ,-0.22017
15,13.28098,7.55354,385.11135,0.35264,1659.8614,REFPROP::R1336MZZZ,-1.57026
16,13.28098,70.0,439.90912,0.34911,1836.24493,REFPROP::R1336MZZZ,3.28451
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.28098,133.67808,476.14154,14.52701,1763.35978,REFPROP::R1336MZZZ,60.15436
19,13.28098,133.33616,376.99607,14.42951,1519.67967,REFPROP::R1336MZZZ,30.00691
28,10.0,97.57243,409.23734,5.0,1279.39901,REFPROP::water,47.63409
29,10.0,128.67902,540.9122,5.0,1620.44158,REFPROP::water,82.74275
