,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,13.116,16.5,5.123,222.568,1079.59,30.841,0,REFPROP::R134a
62,13.116,19.107,50.0,226.807,1081.768,34.464,0,REFPROP::R134a
63,13.116,31.408,50.0,243.839,1138.847,35.334,0,REFPROP::R134a
64,13.116,130.5,47.5,469.367,1763.811,83.903,0,REFPROP::R134a
65,13.116,36.876,5.393,426.906,1779.151,37.098,0,REFPROP::R134a
66,13.116,19.107,5.393,409.724,1722.072,36.079,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,813.447,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,813.447,13.0,1.013,412.36,3839.203,0.016,0,REFPROP::air
