,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,13.105,16.5,5.123,222.568,1079.59,30.841,0,REFPROP::R134a
62,13.105,18.641,50.0,226.171,1079.59,34.445,0,REFPROP::R134a
63,13.105,31.278,50.0,243.655,1138.243,35.321,0,REFPROP::R134a
64,13.105,130.5,47.5,469.367,1763.811,83.903,0,REFPROP::R134a
65,13.105,36.876,5.393,426.906,1779.151,37.098,0,REFPROP::R134a
66,13.105,18.641,5.393,409.264,1720.498,36.065,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,810.788,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,810.788,13.0,1.013,412.36,3839.203,0.016,0,REFPROP::air
