,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,12.206,10.0,4.146,213.577,1048.472,30.662,0,REFPROP::R134a
62,12.206,12.494,50.0,217.833,1050.709,34.284,0,REFPROP::R134a
63,12.206,22.25,49.25,231.105,1096.598,34.562,0,REFPROP::R134a
64,12.206,134.5,49.25,473.437,1772.076,85.633,0,REFPROP::R134a
65,12.206,31.956,4.209,424.611,1790.03,31.723,0,REFPROP::R134a
66,12.206,17.494,4.146,411.339,1746.586,30.753,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,239883.285,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,239883.285,10.01,1.013,409.353,3828.637,0.0,0,REFPROP::air
