,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,12.197,10.0,4.146,213.577,1048.472,30.662,0,REFPROP::R134a
62,12.197,12.02,50.0,217.195,1048.472,34.279,0,REFPROP::R134a
63,12.197,22.107,49.25,230.907,1095.93,34.554,0,REFPROP::R134a
64,12.197,134.5,49.25,473.437,1772.076,85.633,0,REFPROP::R134a
65,12.197,31.956,4.209,424.611,1790.03,31.723,0,REFPROP::R134a
66,12.197,17.02,4.146,410.898,1745.068,30.742,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,239166.71,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,239166.71,10.01,1.013,409.353,3828.637,0.0,0,REFPROP::air
