,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,11.93,10.0,4.146,213.577,1048.472,30.662,0,REFPROP::R134a
62,11.93,12.02,50.0,217.195,1048.472,34.279,0,REFPROP::R134a
63,11.93,18.145,49.25,225.482,1077.431,34.367,0,REFPROP::R134a
64,11.93,134.5,49.25,473.437,1772.076,85.633,0,REFPROP::R134a
65,11.93,26.102,4.209,419.186,1772.076,31.382,0,REFPROP::R134a
66,11.93,17.02,4.146,410.898,1745.068,30.742,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,233933.862,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,233933.862,10.01,1.013,409.353,3828.637,0.0,0,REFPROP::air
