,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,12.538,16.5,5.123,222.568,1079.59,30.841,0,REFPROP::R134a
62,12.538,18.641,50.0,226.171,1079.59,34.445,0,REFPROP::R134a
63,12.538,32.252,50.0,245.025,1142.733,35.419,0,REFPROP::R134a
64,12.538,131.5,47.5,471.154,1768.232,84.438,0,REFPROP::R134a
65,12.538,38.334,5.393,428.301,1783.642,37.222,0,REFPROP::R134a
66,12.538,18.641,5.393,409.264,1720.498,36.065,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,775.661,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,775.661,13.0,1.013,412.36,3839.203,0.016,0,REFPROP::air
