,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,11.599,10.0,4.146,213.577,1048.472,30.662,0,REFPROP::R134a
62,11.599,12.494,50.0,217.833,1050.709,34.284,0,REFPROP::R134a
63,11.599,19.235,49.25,226.969,1082.527,34.411,0,REFPROP::R134a
64,11.599,131.5,49.25,467.984,1758.65,83.982,0,REFPROP::R134a
65,11.599,27.493,4.209,420.476,1776.376,31.454,0,REFPROP::R134a
66,11.599,17.494,4.146,411.339,1746.586,30.753,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,227941.3,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,227941.3,10.01,1.013,409.353,3828.637,0.0,0,REFPROP::air
