,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,11.585,10.0,4.146,213.577,1048.472,30.662,0,REFPROP::R134a
62,11.585,12.02,50.0,217.195,1048.472,34.279,0,REFPROP::R134a
63,11.585,18.571,49.25,226.063,1079.423,34.383,0,REFPROP::R134a
64,11.585,131.0,49.25,467.046,1756.328,83.7,0,REFPROP::R134a
65,11.585,26.728,4.209,419.766,1774.014,31.414,0,REFPROP::R134a
66,11.585,17.02,4.146,410.898,1745.068,30.742,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,227182.328,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,227182.328,10.01,1.013,409.353,3828.637,0.0,0,REFPROP::air
