,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,11.85,10.0,4.146,213.577,1048.472,30.662,0,REFPROP::R134a
62,11.85,12.494,50.0,217.833,1050.709,34.284,0,REFPROP::R134a
63,11.85,20.925,50.0,229.296,1090.257,34.549,0,REFPROP::R134a
64,11.85,131.0,50.0,465.613,1752.075,83.472,0,REFPROP::R134a
65,11.85,24.898,4.146,418.207,1769.919,31.013,0,REFPROP::R134a
66,11.85,12.494,4.146,406.667,1730.371,30.672,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,227458.941,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,227458.941,10.01,1.013,409.353,3828.637,0.0,0,REFPROP::air
