,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,11.997,16.5,5.123,222.568,1079.59,30.841,0,REFPROP::R134a
62,11.997,19.107,50.0,226.807,1081.768,34.464,0,REFPROP::R134a
63,11.997,34.345,49.25,247.974,1152.561,35.585,0,REFPROP::R134a
64,11.997,140.0,46.788,486.375,1806.242,88.896,0,REFPROP::R134a
65,11.997,46.309,5.475,435.782,1806.242,38.304,0,REFPROP::R134a
66,11.997,24.107,5.393,414.615,1738.667,36.271,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,763.492,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,763.492,13.0,1.013,412.36,3839.203,0.016,0,REFPROP::air
