,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,11.965,16.5,5.123,222.568,1079.59,30.841,0,REFPROP::R134a
62,11.965,18.641,50.0,226.171,1079.59,34.445,0,REFPROP::R134a
63,11.965,26.561,49.25,237.062,1116.621,34.851,0,REFPROP::R134a
64,11.965,131.5,46.788,472.399,1772.057,84.601,0,REFPROP::R134a
65,11.965,35.115,5.475,425.054,1772.057,37.255,0,REFPROP::R134a
66,11.965,23.641,5.393,414.163,1737.143,36.25,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,759.653,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,759.653,13.0,1.013,412.36,3839.203,0.016,0,REFPROP::air
