,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,11.295,10.0,4.146,213.577,1048.472,30.662,0,REFPROP::R134a
62,11.295,12.494,50.0,217.833,1050.709,34.284,0,REFPROP::R134a
63,11.295,15.357,49.25,221.69,1064.352,34.278,0,REFPROP::R134a
64,11.295,131.5,49.25,467.984,1758.65,83.982,0,REFPROP::R134a
65,11.295,21.803,4.209,415.197,1758.65,31.195,0,REFPROP::R134a
66,11.295,17.494,4.146,411.339,1746.586,30.753,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,221974.462,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,221974.462,10.01,1.013,409.353,3828.637,0.0,0,REFPROP::air
