k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
pump,,2.845,85.3083,3.74789,-0.90289,7.45639,0.95126,,,-0.13769,1.40472,1.44028,1.85052,-0.4458,1.89737,-0.45709,,1.96025
pump,eva,,,,,7.94001,0.46763,3.26501,-0.48287,,,,,,,,-0.24446,
pump,ihx,,,,,7.34576,1.06189,3.88642,0.13854,,,,,,,,0.07013,
pump,exp,,,,,7.63361,0.77404,3.61495,-0.13294,,,,,,,,-0.0673,
pump,cond,,,,,7.76909,0.63856,3.45996,-0.28793,,,,,,,,-0.14576,
eva,,151.43328,79.46678,142.31399,9.11929,7.93634,0.47131,,,2.25768,109.71885,41.71443,111.42608,-1.70723,30.88791,10.82652,,32.28789
eva,pump,,,,,7.94001,0.46763,142.31235,-0.00163,,,,,,,,-0.00194,
eva,ihx,,,,,7.83025,0.5774,142.87449,0.5605,,,,,,,,0.66543,
eva,exp,,,,,8.11265,0.295,143.54842,1.23443,,,,,,,,1.46553,
eva,cond,,,,,8.28852,0.11913,147.38231,5.06832,,,,,,,,6.01716,
ihx,,23.63855,60.45549,9.17845,14.46009,7.34157,1.06607,,,3.08639,17.48801,6.15054,2.38203,15.10598,6.79643,-0.64589,,7.73673
ihx,pump,,,,,7.34576,1.06189,9.09995,-0.07851,,,,,,,,0.00351,
ihx,eva,,,,,7.83025,0.5774,12.80481,3.62635,,,,,,,,-0.16198,
ihx,exp,,,,,7.5261,0.88154,13.05949,3.88103,,,,,,,,-0.17335,
ihx,cond,,,,,7.68543,0.72222,13.12328,3.94483,,,,,,,,-0.1762,
exp,,43.96254,91.5682,52.24333,-8.2808,7.62951,0.77814,,,-1.02739,29.94659,14.01595,35.58734,-5.64075,16.656,-2.64005,,18.62307
exp,pump,,,,,7.63361,0.77404,52.25452,0.01119,,,,,,,,0.00357,
exp,eva,,,,,8.11265,0.295,50.64644,-1.59689,,,,,,,,-0.50911,
exp,ihx,,,,,7.5261,0.88154,51.57269,-0.67064,,,,,,,,-0.21381,
exp,cond,,,,,7.93278,0.47487,47.24627,-4.99706,,,,,,,,-1.59314,
cond,,57.56204,,52.03472,5.52732,7.76521,0.64244,,,0.26051,23.79873,33.76331,21.98024,1.81849,30.05449,3.70883,,34.15654
cond,pump,,,,,7.76909,0.63856,52.12079,0.08607,,,,,,,,0.05775,
cond,eva,,,,,8.28852,0.11913,55.48558,3.45086,,,,,,,,2.31552,
cond,ihx,,,,,7.68543,0.72222,52.65849,0.62377,,,,,,,,0.41855,
cond,exp,,,,,7.93278,0.47487,53.14084,1.10611,,,,,,,,0.7422,
