Label,Key,ED [kW]
all_real,pump,2.844997
all_real,eva,151.433278
all_real,ihx,23.638547
all_real,exp,43.962537
all_real,cond,57.562041
all_real,tot,279.4414
all_ideal,pump,0.0
all_ideal,eva,-0.0
all_ideal,ihx,-0.0
all_ideal,exp,0.0
all_ideal,cond,0.021611
all_ideal,tot,0.021611
pump,pump,3.747886
pump,eva,-0.0
pump,ihx,0.0
pump,exp,0.0
pump,cond,0.033452
pump,tot,3.781338
eva,pump,-0.0
eva,eva,142.313987
eva,ihx,0.0
eva,exp,0.0
eva,cond,0.015514
eva,tot,142.329501
ihx,pump,-0.0
ihx,eva,0.0
ihx,ihx,9.178454
ihx,exp,-0.0
ihx,cond,0.574655
ihx,tot,9.753109
exp,pump,0.0
exp,eva,-0.0
exp,ihx,-0.0
exp,exp,52.243332
exp,cond,0.019687
exp,tot,52.26302
cond,pump,0.0
cond,eva,-0.0
cond,ihx,-0.0
cond,exp,0.0
cond,cond,52.034722
cond,tot,52.034722
pump_eva,pump,3.265014
pump_eva,eva,142.312353
pump_eva,ihx,-0.0
pump_eva,exp,-0.0
pump_eva,cond,0.02396
pump_eva,tot,145.601327
pump_ihx,pump,3.886422
pump_ihx,eva,0.0
pump_ihx,ihx,9.099945
pump_ihx,exp,-0.0
pump_ihx,cond,0.632443
pump_ihx,tot,13.61881
pump_exp,pump,3.614949
pump_exp,eva,-0.0
pump_exp,ihx,-0.0
pump_exp,exp,52.25452
pump_exp,cond,0.030446
pump_exp,tot,55.899915
pump_cond,pump,3.459959
pump_cond,eva,-0.0
pump_cond,ihx,-0.0
pump_cond,exp,0.0
pump_cond,cond,52.120789
pump_cond,tot,55.580748
eva_ihx,pump,0.0
eva_ihx,eva,142.874486
eva_ihx,ihx,12.804806
eva_ihx,exp,-0.0
eva_ihx,cond,0.571332
eva_ihx,tot,156.250624
eva_exp,pump,-0.0
eva_exp,eva,143.548418
eva_exp,ihx,0.0
eva_exp,exp,50.646437
eva_exp,cond,0.013811
eva_exp,tot,194.208666
eva_cond,pump,0.0
eva_cond,eva,147.382305
eva_cond,ihx,0.0
eva_cond,exp,0.0
eva_cond,cond,55.485582
eva_cond,tot,202.867888
ihx_exp,pump,-0.0
ihx_exp,eva,0.0
ihx_exp,ihx,13.059489
ihx_exp,exp,51.572694
ihx_exp,cond,0.576159
ihx_exp,tot,65.208342
ihx_cond,pump,0.0
ihx_cond,eva,-0.0
ihx_cond,ihx,13.123279
ihx_cond,exp,0.0
ihx_cond,cond,52.658489
ihx_cond,tot,65.781768
exp_cond,pump,0.0
exp_cond,eva,-0.0
exp_cond,ihx,0.0
exp_cond,exp,47.246274
exp_cond,cond,53.140836
exp_cond,tot,100.387111
pump_unavoid,pump,1.40312
pump_unavoid,eva,151.346985
pump_unavoid,ihx,23.674289
pump_unavoid,exp,43.973925
pump_unavoid,cond,57.51252
pump_unavoid,tot,277.910839
eva_unavoid,pump,3.385447
eva_unavoid,eva,116.296783
eva_unavoid,ihx,19.574007
eva_unavoid,exp,48.482714
eva_unavoid,cond,56.789583
eva_unavoid,tot,244.528534
ihx_unavoid,pump,2.727046
ihx_unavoid,eva,156.013171
ihx_unavoid,ihx,20.682615
ihx_unavoid,exp,43.580071
ihx_unavoid,cond,57.288434
ihx_unavoid,tot,280.291336
exp_unavoid,pump,2.900077
exp_unavoid,eva,149.294907
exp_unavoid,ihx,21.943822
exp_unavoid,exp,31.042053
exp_unavoid,cond,57.172544
exp_unavoid,tot,262.353403
cond_unavoid,pump,3.139645
cond_unavoid,eva,144.45792
cond_unavoid,ihx,19.800806
cond_unavoid,exp,49.165042
cond_unavoid,cond,23.117179
cond_unavoid,tot,239.680592
