,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.452182015376879,10.000000000000114,217.18898274016493,3.7276418142103576,1061.387601728472,REFPROP::R152a,43.86852
32,7.452182015376879,11.196360383066406,220.10912152760332,31.137373938852626,1061.387601728499,REFPROP::R152a,46.78866
33,7.452182015376879,29.397364740383694,252.0327188446646,31.137373938852626,1170.18714632353,REFPROP::R152a,47.90567
34,7.452182015376879,139.99999999999977,630.6547361480724,31.137373938852626,2222.5257746552907,REFPROP::R152a,128.558
35,7.452182015376879,39.46638744956891,547.6124738501527,3.7276418142103576,2222.525774655291,REFPROP::R152a,45.51574
36,7.452182015376879,11.196360488293976,515.1615653373403,3.7276418142103576,2113.7262300602597,REFPROP::R152a,43.87142
41,10,139.99999999999932,589.2513914025363,5.0,1739.0745003453108,REFPROP::water,97.49103
42,10,69.99999999999426,293.44857047709075,5.0,954.8526003312693,REFPROP::water,23.74064
38,7.452182015376879,93.94734413311511,386.93343674557514,31.137373938852626,1571.7131140878648,REFPROP::R152a,69.11431
39,7.452182015376879,93.94734415742334,540.4996816808647,31.137373938852626,1990.038791118029,REFPROP::R152a,104.23164
48,10,124.24898326893793,522.0662038529515,5.0,1573.2806697135647,REFPROP::water,77.25036
49,10,93.94820123386796,393.9790408573503,5.0,1238.0382464746551,REFPROP::water,44.08709
