,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.496436349699218,10.000000000004775,217.18898273991778,3.727641805611315,1061.3876017308517,REFPROP::R152a,43.86852
32,7.496436349699218,11.154858993648588,220.00612009878387,30.168033482804216,1061.3876017308228,REFPROP::R152a,46.68566
33,7.496436349699218,18.19755864877567,232.20472224657277,30.168033482804216,1103.7702242865269,REFPROP::R152a,46.88362
34,7.496436349699218,135.0,626.7959748453166,28.659631808664006,2221.2392526193644,REFPROP::R152a,125.06352
35,7.496436349699218,39.11758915079383,547.2105102950921,3.727641805611315,2221.239252619364,REFPROP::R152a,45.47806
36,7.496436349699218,11.154859099247005,515.1138137124198,3.727641805611315,2113.558283351636,REFPROP::R152a,43.87123
41,10,140.00000000000085,589.2513914025425,5.0,1739.0745003453267,REFPROP::water,97.49103
42,10,70.00000000000034,293.4485704770856,5.0,954.8526003313833,REFPROP::water,23.74064
38,7.496436349699218,91.49702619328889,380.626260621249,29.656612082114744,1555.0843089959983,REFPROP::R152a,67.51558
39,7.496436349699218,90.64316430043874,541.8570913865123,29.153860515646723,1998.4900804445651,REFPROP::R152a,103.19607
48,10,125.07501132957805,525.577498056198,5.0,1582.107188964485,REFPROP::water,78.26243
49,10,96.49785609303689,404.7118320121056,5.0,1267.1740116883934,REFPROP::water,46.57009
