,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,8.288518093022956,15.000000000001307,225.92838827642422,4.38582615290019,1091.7349524926215,REFPROP::R152a,44.01508
32,8.288518093022956,15.871777236130526,227.9546162987581,23.15001312515457,1091.7349524926194,REFPROP::R152a,46.0413
33,8.288518093022956,45.2080678099955,281.0725050131183,23.15001312515457,1266.6634635542407,REFPROP::R152a,49.62819
34,8.288518093022956,135.00000000000006,637.9551438703966,21.99251246889684,2275.616878841312,REFPROP::R152a,120.82566
35,8.288518093022956,62.97612118557021,572.9771347117601,4.616659108315989,2275.6168788413115,REFPROP::R152a,55.84766
36,8.288518093022956,16.871777346017154,518.3078169990538,4.616659108315989,2100.688367779683,REFPROP::R152a,50.70935
41,10,139.99999999999932,589.2513914025395,5.0,1739.074500345322,REFPROP::water,97.49103
42,10,70.00000000000506,293.4485704771068,5.0,954.8526003313788,REFPROP::water,23.74064
38,8.288518093022956,78.63625223693111,350.06312611289434,22.757564205830917,1472.53192517868,REFPROP::R152a,60.32715
39,8.288518093022956,77.83287692216481,543.3698411012936,22.37176824836287,2023.4459300632184,REFPROP::R152a,97.64257
48,10,121.60946442699594,510.85419206896313,5.0,1544.9730841809503,REFPROP::water,74.05365
49,10,83.63543793881973,350.63157160054527,5.0,1118.2671434994886,REFPROP::water,34.65281
