,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,8.112649650555166,10.000000000000057,217.18898274028786,3.727641818203594,1061.3876017274051,REFPROP::R152a,43.86852
32,8.112649650555166,10.91632667945521,219.41647987034727,24.622475949283086,1061.387601727405,REFPROP::R152a,46.09602
33,8.112649650555166,39.88391820237945,271.0884755875297,24.622475949283086,1234.4955620462056,REFPROP::R152a,48.7525
34,8.112649650555166,135.0,635.7077228949686,23.39135215181893,2263.6523571786192,REFPROP::R152a,121.966
35,8.112649650555166,56.95577224229061,567.9107120842184,3.727641818203594,2285.700378190279,REFPROP::R152a,47.92609
36,8.112649650555166,10.916326787185483,514.8393287839739,3.727641818203594,2112.5924178714918,REFPROP::R152a,43.87023
41,10,139.99999999999932,589.2513914025398,5.0,1739.0745003453237,REFPROP::water,97.49103
42,10,70.00000000000728,293.44857047710155,5.0,954.8526003314752,REFPROP::water,23.74064
38,8.112649650555166,81.56112794956192,356.71687892500046,24.20506521067452,1490.8021823305676,REFPROP::R152a,61.80768
39,8.112649650555166,80.74583872330669,543.4279794294681,23.794730597353457,2018.5567984641962,REFPROP::R152a,99.08506
48,10,122.44171449383708,514.3880685446685,5.0,1553.9156344446685,REFPROP::water,75.05544
49,10,86.5603085246288,362.9158941184345,5.0,1152.5573284739703,REFPROP::water,37.22787
