,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,8.283118334078331,14.999999998324483,225.92838827810252,4.385826334605428,1091.7349524302113,REFPROP::R152a,44.01508
32,8.283118334078331,16.255768570536475,228.71220972335558,26.306263676011845,1093.178415036681,REFPROP::R152a,46.39018
33,8.283118334078331,44.63058356228373,279.95942487296503,25.911669720871664,1262.146296833412,REFPROP::R152a,49.79414
34,8.283118334078331,138.00000000000017,637.0747152684195,25.393436326454232,2258.503425377883,REFPROP::R152a,124.79091
35,8.283118334078331,64.60945799795905,574.7752203932199,4.6869637559235136,2279.1751395264005,REFPROP::R152a,56.63822
36,8.283118334078331,21.255768644319403,523.5280052436104,4.6166592995846605,2118.553083452842,REFPROP::R152a,50.87114
41,10,139.9999999999996,589.2513914025384,5.0,1739.0745003453255,REFPROP::water,97.49103
42,10,69.99999999998812,293.44857047707103,5.0,954.8526003311184,REFPROP::water,23.74064
38,8.283118334078331,84.51595625047798,363.595947375354,25.737760657260512,1509.5104577957202,REFPROP::R152a,63.3895
39,8.283118334078331,84.18979202691986,543.226454457298,25.56501880374164,2012.2681131839777,REFPROP::R152a,100.66418
48,10,121.76529069437959,511.51576642794197,5.0,1546.6486458264517,REFPROP::water,74.24078
49,10,86.51503500070459,362.72569177091816,5.0,1152.0285298448516,REFPROP::water,37.1874
