,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.346244718667239,10.000000000000739,217.18898274020847,3.72764181564214,1061.3876017280943,REFPROP::R152a,43.86852
32,7.346244718667239,11.243645419848235,220.22662600363014,32.24342338677706,1061.3876017281052,REFPROP::R152a,46.90617
33,7.346244718667239,28.06700292404048,249.66349514780882,31.759772035975402,1162.1097276169098,REFPROP::R152a,47.82357
34,7.346244718667239,139.99999999999994,632.3149398425687,30.17178343417663,2229.6237161194367,REFPROP::R152a,128.20842
35,7.346244718667239,42.015034860860055,550.3967667653794,3.7844079346620707,2229.6237161194376,REFPROP::R152a,46.29025
36,7.346244718667239,16.243645485978618,520.9598976212009,3.72764181564214,2133.939237989753,REFPROP::R152a,43.94644
41,10,140.00000000000085,589.2513914025425,5.0,1739.0745003453267,REFPROP::water,97.49103
42,10,70.00000000000034,293.4485704770856,5.0,954.8526003313833,REFPROP::water,23.74064
38,7.346244718667239,94.08354419358284,387.2902067009773,31.221366802850902,1572.649960943726,REFPROP::R152a,69.20581
39,7.346244718667239,93.22037083620091,540.8449920594076,30.692088845411114,1992.0007337260652,REFPROP::R152a,104.02142
48,10,124.246424599139,522.0553293206609,5.0,1573.2533053573868,REFPROP::water,77.24724
49,10,94.0844762798493,394.552520766586,5.0,1239.6001541297978,REFPROP::water,44.21832
