,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.685427852653067,14.999999998324483,225.92838827810252,4.385826334605428,1091.7349524302113,REFPROP::R152a,44.01508
32,7.685427852653067,16.160018295945406,228.63626724439837,29.47958551502168,1091.7349524715294,REFPROP::R152a,46.72296
33,7.685427852653067,37.3043298657297,266.34427889167375,29.037391732296356,1217.653053931575,REFPROP::R152a,48.77726
34,7.685427852653067,139.9999999999999,634.2327787989085,29.037391732296356,2238.054149419135,REFPROP::R152a,127.73919
35,7.685427852653067,53.17866089006259,561.122255228872,4.6869637559235136,2238.054149419461,REFPROP::R152a,54.62866
36,7.685427852653067,21.160018370409375,523.4142435815966,4.6166592995846605,2118.166609487101,REFPROP::R152a,50.86681
41,10,139.9999999999996,589.2513914025384,5.0,1739.0745003453255,REFPROP::water,97.49103
42,10,69.99999999998812,293.44857047707103,5.0,954.8526003311184,REFPROP::water,23.74064
38,7.685427852653067,90.44371122494238,377.9743800990539,29.037391732296356,1548.0538945345395,REFPROP::R152a,66.85436
39,7.685427852653067,90.44371125681522,541.9227791911195,29.037391732296356,1998.9648814988877,REFPROP::R152a,103.12731
48,10,123.36436515997895,518.3072071961288,5.0,1563.8111275746712,REFPROP::water,76.17267
49,10,90.44453412321315,379.2410793784834,5.0,1197.6982675214724,REFPROP::water,40.7714
