,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.526100954282585,10.00000000000125,217.1889827396871,3.727641797921852,1061.387601732936,REFPROP::R152a,43.86852
32,7.526100954282585,11.188300020019142,220.08910713043488,30.94900537864621,1061.3876017329326,REFPROP::R152a,46.76865
33,7.526100954282585,31.91690369669584,256.5550297890848,30.484770297966516,1185.3128283339934,REFPROP::R152a,48.14514
34,7.526100954282585,140.0,631.7796586696666,30.484770297966516,2227.315725687866,REFPROP::R152a,128.32665
35,7.526100954282585,48.02600958016916,557.3623185434664,3.784407916671931,2251.5167200844235,REFPROP::R152a,47.0568
36,7.526100954282585,16.188300086522815,520.8963958848165,3.727641797921852,2133.7197872415554,REFPROP::R152a,43.94508
41,10,140.00000000000034,589.2513914025427,5.0,1739.0745003453271,REFPROP::water,97.49103
42,10,70.00000000000034,293.4485704770856,5.0,954.8526003313833,REFPROP::water,23.74064
38,7.526100954282585,92.87904656579366,384.1584589136273,30.484770297966516,1564.4126194020757,REFPROP::R152a,68.40647
39,7.526100954282585,92.87904658912146,540.9975180588332,30.484770297966516,1992.9006334095297,REFPROP::R152a,103.91914
48,10,123.98112162398479,520.9278358942419,5.0,1570.4151571602026,REFPROP::water,76.92337
49,10,92.87994479328341,389.48419944748053,5.0,1225.776149227582,REFPROP::water,43.06426
