,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,8.514631426800264,14.999999998457326,225.92838827833717,4.385826334625734,1091.7349524310143,REFPROP::R152a,44.01508
32,8.514631426800264,15.985516332863313,228.10800098962153,21.539777549442555,1092.8660759720742,REFPROP::R152a,45.87441
33,8.514631426800264,51.554785957390834,293.2753483629045,21.32437977394813,1305.2896775150687,REFPROP::R152a,50.89402
34,8.514631426800264,134.99999999999994,640.6806629304442,20.25816078525072,2291.029379301344,REFPROP::R152a,119.18713
35,8.514631426800264,72.89530733824336,584.8037684107026,4.663292221824278,2309.1055116236084,REFPROP::R152a,58.19198
36,8.514631426800264,17.9855164327318,519.6364210374197,4.616659299606035,2105.2606407631292,REFPROP::R152a,50.74331
41,10,139.9999999999996,589.2513914025384,5.0,1739.0745003453255,REFPROP::water,97.49103
42,10,69.99999999998812,293.44857047707103,5.0,954.8526003311184,REFPROP::water,23.74064
38,8.514631426800264,74.80668909255456,341.55583916149357,20.962879771667797,1448.9112541155955,REFPROP::R152a,58.50806
39,8.514631426800264,74.01915798767868,543.0228184311547,20.607508071970425,2029.3671821951814,REFPROP::R152a,95.61894
48,10,120.48922604342096,506.0993362178161,5.0,1532.9110181126232,REFPROP::water,72.71416
49,10,79.8057666308788,334.55762890261866,5.0,1072.9715110231598,REFPROP::water,31.40433
