,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.4563873673262036,10.000000000000398,217.18898273976586,3.72764180061518,1061.3876017321963,REFPROP::R152a,43.86852
32,7.4563873673262036,11.48856801564608,220.61024036113642,31.100632143771065,1063.1627772239276,REFPROP::R152a,46.78714
33,7.4563873673262036,29.54099019467253,252.28961074213635,31.100632143771065,1171.049570846093,REFPROP::R152a,47.91836
34,7.4563873673262036,140.00000000000028,630.7183908923055,31.100632143771065,2222.7946873222754,REFPROP::R152a,128.54552
35,7.4563873673262036,39.539333492176695,547.6965500309733,3.72764180061518,2222.794687322274,REFPROP::R152a,45.52367
36,7.4563873673262036,11.488568118300975,515.4977395880387,3.72764180061518,2114.907893700108,REFPROP::R152a,43.87301
41,10,139.99999999999932,589.2513914025395,5.0,1739.074500345322,REFPROP::water,97.49103
42,10,70.00000000000506,293.4485704771068,5.0,954.8526003313788,REFPROP::water,23.74064
38,7.4563873673262036,93.88767298714527,386.77734879487707,31.100632143771065,1571.3031160713474,REFPROP::R152a,69.07431
39,7.4563873673262036,93.88767301253955,540.5291023342024,31.100632143771065,1990.202223550408,REFPROP::R152a,104.21478
48,10,124.2340565113551,522.0027642152619,5.0,1573.1210295739584,REFPROP::water,77.23213
49,10,93.88850681267058,393.7278375847799,5.0,1237.3538963520668,REFPROP::water,44.02966
