,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.769465169438484,14.99999999835154,225.92838827815052,4.385826334594009,1091.7349524303813,REFPROP::R152a,44.01508
32,7.769465169438484,16.34948441577751,228.92223302943827,27.96020630185888,1093.288357855048,REFPROP::R152a,46.56907
33,7.769465169438484,42.29126962623343,275.56614525780145,27.96020630185888,1247.5167027257346,REFPROP::R152a,49.54323
34,7.769465169438484,140.0000000000001,638.3033252859653,26.562195986765932,2256.880774655259,REFPROP::R152a,126.47897
35,7.769465169438484,57.74282003042998,566.7285619741239,4.616659299572642,2256.880774655634,REFPROP::R152a,54.90421
36,7.769465169438484,17.349484521293505,518.8779080418382,4.616659299572642,2102.6524297849196,REFPROP::R152a,50.72331
41,10,139.9999999999996,589.2513914025412,5.0,1739.0745003452994,REFPROP::water,97.49103
42,10,69.99999999999903,293.448570477115,5.0,954.8526003312522,REFPROP::water,23.74064
38,7.769465169438484,87.7258833745696,371.27541570222235,27.486212931405547,1530.1876244512546,REFPROP::R152a,65.21423
39,7.769465169438484,86.88622741510471,542.8303466393901,27.020254899204307,2006.8745371697664,REFPROP::R152a,101.79526
48,10,122.60322137078214,515.0739931808301,5.0,1555.6492012194549,REFPROP::water,75.2505
49,10,87.72499035571212,367.8095547881907,5.0,1166.1397998784944,REFPROP::water,38.27565
