,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.633608133212434,10.000000000001023,217.18898274031022,3.7276418190076996,1061.3876017271884,REFPROP::R152a,43.86852
32,7.633608133212434,11.403397597742526,220.41227864165677,29.513941360839677,1063.060061541637,REFPROP::R152a,46.61826
33,7.633608133212434,35.558663512558894,263.15362627643907,29.513941360839677,1207.1715304410718,REFPROP::R152a,48.55445
34,7.633608133212434,140.00000000000028,633.431291631372,29.513941360839677,2234.499481167245,REFPROP::R152a,127.9442
35,7.633608133212434,49.390227269652314,559.092009016378,3.7276418190076996,2258.6750909537927,REFPROP::R152a,46.7596
36,7.633608133212434,11.403397701147242,515.3997614196867,3.7276418190076996,2114.5636220543547,REFPROP::R152a,43.87251
41,10,139.99999999999932,589.2513914025395,5.0,1739.074500345322,REFPROP::water,97.49103
42,10,70.00000000000472,293.4485704770993,5.0,954.8526003313981,REFPROP::water,23.74064
38,7.633608133212434,91.2558792793115,380.01618050616685,29.513941360839677,1553.468994391567,REFPROP::R152a,67.36287
39,7.633608133212434,91.25587930907159,541.6444762860006,29.513941360839677,1997.008204542456,REFPROP::R152a,103.40304
48,10,123.57095282888002,519.1849333883301,5.0,1566.0241561397338,REFPROP::water,76.42378
49,10,91.25682550038522,382.65686492070216,5.0,1207.082279782144,REFPROP::water,41.5301
