,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,8.405846841082218,14.999999998339547,225.92838827812992,4.385826334630545,1091.7349524302924,REFPROP::R152a,44.01508
32,8.405846841082218,15.941227811280669,228.05833248721876,22.53130758837877,1092.3244700748785,REFPROP::R152a,45.9781
33,8.405846841082218,48.56919689690653,287.4902462664156,22.193337974553085,1287.069552476054,REFPROP::R152a,50.26794
34,8.405846841082218,134.9999999999999,639.391519889126,21.083671075825432,2283.6057550547007,REFPROP::R152a,119.99999
35,8.405846841082218,71.10049278489493,582.5861730762759,4.686963755950356,2302.081297088029,REFPROP::R152a,57.96329
36,8.405846841082218,20.941227887359275,523.1542592970791,4.616659299611101,2117.2829121813124,REFPROP::R152a,50.85704
41,10,139.9999999999996,589.2513914025384,5.0,1739.0745003453255,REFPROP::water,97.49103
42,10,69.99999999998812,293.44857047707103,5.0,954.8526003311184,REFPROP::water,23.74064
38,8.405846841082218,76.65922919766501,345.64406586476906,21.817107021369136,1460.2995799365578,REFPROP::R152a,59.37168
39,8.405846841082218,75.86400302911255,543.2263886809673,21.447254096145464,2026.5640013816521,REFPROP::R152a,96.61623
48,10,121.03519906220993,508.4164549637027,5.0,1538.79334159594,REFPROP::water,73.3657
49,10,81.65832590818292,342.33178055388,5.0,1094.9397581888347,REFPROP::water,32.95817
