Label,Key,ED [kW]
real,pump,1.4334
real,eva,145.3225
real,ihx,16.707
real,exp,33.8844
real,cond,22.5286
real,tot,219.8759
ideal,pump,0.0
ideal,eva,-0.0
ideal,ihx,-0.0
ideal,exp,0.0
ideal,cond,0.0214
ideal,tot,0.0214
pump,pump,1.8633
pump,eva,-0.0
pump,ihx,0.0
pump,exp,0.0
pump,cond,0.027
pump,tot,1.8903
eva,pump,0.0
eva,eva,140.3331
eva,ihx,0.0
eva,exp,0.0
eva,cond,0.0141
eva,tot,140.3471
ihx,pump,0.0
ihx,eva,-0.0
ihx,ihx,6.2473
ihx,exp,0.0
ihx,cond,0.1541
ihx,tot,6.4014
exp,pump,0.0
exp,eva,-0.0
exp,ihx,0.0
exp,exp,36.6574
exp,cond,0.0201
exp,tot,36.6775
cond,pump,-0.0
cond,eva,0.0
cond,ihx,-0.0
cond,exp,0.0
cond,cond,20.6435
cond,tot,20.6435
pump_eva,pump,1.5502
pump_eva,eva,140.3459
pump_eva,ihx,0.0
pump_eva,exp,0.0
pump_eva,cond,0.0177
pump_eva,tot,141.9138
pump_ihx,pump,1.8864
pump_ihx,eva,-0.0
pump_ihx,ihx,6.2135
pump_ihx,exp,0.0
pump_ihx,cond,0.1686
pump_ihx,tot,8.2685
pump_exp,pump,1.8178
pump_exp,eva,-0.0
pump_exp,ihx,-0.0
pump_exp,exp,36.6616
pump_exp,cond,0.0253
pump_exp,tot,38.5046
pump_cond,pump,1.8184
pump_cond,eva,-0.0
pump_cond,ihx,-0.0
pump_cond,exp,0.0
pump_cond,cond,20.6673
pump_cond,tot,22.4857
eva_ihx,pump,-0.0
eva_ihx,eva,140.1892
eva_ihx,ihx,11.1933
eva_ihx,exp,0.0
eva_ihx,cond,0.1386
eva_ihx,tot,151.5212
eva_exp,pump,0.0
eva_exp,eva,141.9005
eva_exp,ihx,0.0
eva_exp,exp,35.7189
eva_exp,cond,0.0129
eva_exp,tot,177.6324
eva_cond,pump,-0.0
eva_cond,eva,141.7089
eva_cond,ihx,0.0
eva_cond,exp,0.0
eva_cond,cond,21.9488
eva_cond,tot,163.6578
exp_ihx,pump,0.0
exp_ihx,eva,-0.0
exp_ihx,ihx,8.6447
exp_ihx,exp,36.5108
exp_ihx,cond,0.1521
exp_ihx,tot,45.3075
ihx_cond,pump,-0.0
ihx_cond,eva,0.0
ihx_cond,ihx,7.5091
ihx_cond,exp,0.0
ihx_cond,cond,20.7762
ihx_cond,tot,28.2852
exp_cond,pump,-0.0
exp_cond,eva,-0.0
exp_cond,ihx,-0.0
exp_cond,exp,35.3504
exp_cond,cond,20.9699
exp_cond,tot,56.3203
