,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.931128694344824,9.9999999980555,217.18898273893132,3.7276418864644216,1061.3876016968563,REFPROP::R152a,43.86852
32,7.931128694344824,10.934757202442881,219.46189532323766,25.04939449419569,1061.3876017408318,REFPROP::R152a,46.14144
33,7.931128694344824,37.492767464808594,266.6686174112752,25.04939449419569,1220.1647818999002,REFPROP::R152a,48.3904
34,7.931128694344824,138.0,639.6329612333037,23.7969247694859,2271.4442589510622,REFPROP::R152a,123.68496
35,7.931128694344824,52.949935183974844,563.233278307514,3.7276418864644216,2271.4442589513865,REFPROP::R152a,47.28528
36,7.931128694344824,10.93475731001297,514.8605387144112,3.7276418864644216,2112.667078792378,REFPROP::R152a,43.8703
41,10,140.00000000000074,589.2513914025429,5.0,1739.074500345321,REFPROP::water,97.49103
42,10,69.99999999998812,293.44857047707103,5.0,954.8526003311184,REFPROP::water,23.74064
38,7.931128694344824,82.38414001410308,358.61615039491636,24.624746449902485,1495.985480062475,REFPROP::R152a,62.2393
39,7.931128694344824,81.56553379621857,543.4081886282228,24.207297220796757,2017.1140616268974,REFPROP::R152a,99.47378
48,10,122.09937361191265,512.9342858910467,5.0,1550.239086143107,REFPROP::water,74.64267
49,10,87.38320413135312,366.37334219918245,5.0,1162.1581076848638,REFPROP::water,37.96686
