,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,8.046539670334042,12.000000000001023,220.67259093616065,3.9811449356980435,1073.5518220555525,REFPROP::R152a,43.90783
32,8.046539670334042,12.902011873949107,222.82681253757045,24.08630063920839,1073.5518220555416,REFPROP::R152a,46.06205
33,8.046539670334042,41.15760814406451,273.45840114469877,24.08630063920839,1242.2485183411316,REFPROP::R152a,48.92717
34,8.046539670334042,137.9999999999999,641.0733425287623,22.88198560724797,2279.0534483355955,REFPROP::R152a,122.9708
35,8.046539670334042,58.62434957119126,569.0855419850415,4.062392791528616,2279.053448335597,REFPROP::R152a,50.983
36,8.046539670334042,13.90201197696274,516.9716412937071,4.062392791528616,2110.3567520500073,REFPROP::R152a,46.63557
41,10,140.0,589.2513914025407,5.0,1739.0745003453276,REFPROP::water,97.49103
42,10,70.00000000000728,293.44857047710155,5.0,954.8526003314752,REFPROP::water,23.74064
38,8.046539670334042,80.51190815387844,354.3132497046495,23.67797937367568,1484.2223409173432,REFPROP::R152a,61.26713
39,8.046539670334042,79.70087121435847,543.4295164912521,23.276580144797073,2020.3516993363457,REFPROP::R152a,98.57837
48,10,121.568881259531,510.6818994251384,5.0,1544.5366120601686,REFPROP::water,74.00494
49,10,85.51117431843602,358.508745124751,5.0,1140.2874875877417,REFPROP::water,36.29492
