,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,8.05780570144614,9.999999998040721,217.18898273890596,3.7276418864634113,1061.3876016967706,REFPROP::R152a,43.86852
32,8.05780570144614,10.889155535198768,219.34957024663436,23.99357056152289,1061.3876017402893,REFPROP::R152a,46.02911
33,8.05780570144614,41.506772753177756,274.11011413407067,23.99357056152289,1244.3550192232794,REFPROP::R152a,48.98243
34,8.05780570144614,138.0,641.2110742284004,22.793892033446745,2279.7943158320427,REFPROP::R152a,122.89875
35,8.05780570144614,59.713846492722894,571.1424688224438,3.7276418864634113,2295.44974846063,REFPROP::R152a,48.39731
36,8.05780570144614,10.889155643180743,514.8080588883641,3.7276418864634113,2112.482330977679,REFPROP::R152a,43.87013
41,10,140.00000000000034,589.2513914025427,5.0,1739.0745003453271,REFPROP::water,97.49103
42,10,69.99999999998812,293.44857047707103,5.0,954.8526003311184,REFPROP::water,23.74064
38,8.05780570144614,80.3286456793237,353.8953898263997,23.586821295909996,1483.0761533961604,REFPROP::R152a,61.17382
39,8.05780570144614,79.51835404282292,543.4271479946624,23.186967417736515,2020.6603247594317,REFPROP::R152a,98.48862
48,10,121.51637762876788,510.45900357094246,5.0,1543.9718793091906,REFPROP::water,73.94195
49,10,85.32767209546518,357.73799541360864,5.0,1138.137974336263,REFPROP::water,36.13281
