,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.907137945689451,10.000000000003638,217.18898272871317,3.727641426828533,1061.387601834189,REFPROP::R152a,43.86852
32,7.907137945689451,10.948956675895829,219.49690129575157,25.378485043926755,1061.3876018341705,REFPROP::R152a,46.17644
33,7.907137945689451,36.711310527824935,265.2322849891701,25.251592618707118,1215.4607475038786,REFPROP::R152a,48.28601
34,7.907137945689451,138.00000000000017,639.3282258430776,23.989012987771762,2269.865611415893,REFPROP::R152a,123.82722
35,7.907137945689451,52.7138670592816,562.9122378767992,3.746373293295008,2269.8656114158944,REFPROP::R152a,47.41123
36,7.907137945689451,12.948956766293577,517.1768541833807,3.727641426828533,2120.791937097153,REFPROP::R152a,43.88606
41,10,139.99999999999932,589.2513914025395,5.0,1739.074500345322,REFPROP::water,97.49103
42,10,70.00000000000506,293.4485704771068,5.0,954.8526003313788,REFPROP::water,23.74064
38,7.907137945689451,82.77019768674558,359.5113986695881,24.82351682536579,1498.4238867690403,REFPROP::R152a,62.44412
39,7.907137945689451,81.95004148149582,543.3930672281655,24.402697955879198,2016.4262340219545,REFPROP::R152a,99.65342
48,10,122.20766608309196,513.3941381015688,5.0,1551.4023750837214,REFPROP::water,74.77314
49,10,87.76944543853472,367.99636620394705,5.0,1166.657430402417,REFPROP::water,38.3159
